ime,id,leto,minplay,maxplay,mintime,maxtime,minage,ocena,glasovi,kategorije,mechanic
Wizard,1465,1984,3,6,45,45,10,6.90018,7186,['Card Game'],"['Betting and Bluffing', 'Hand Management', 'Trick-taking']"

Taluva,24508,2006,2,4,45,45,8,7.18146,7186,"['City Building', 'Territory Building']","['Modular Board', 'Tile Placement']"

Trains,121408,2012,2,4,45,45,12,7.19712,7156,"['Card Game', 'Territory Building', 'Trains']","['Deck, Bag, and Pool Building', 'Hand Management', 'Network and Route Building']"

Karuba,183251,2015,2,4,30,40,8,7.21654,7155,"['Puzzle', 'Racing']","['Grid Movement', 'Network and Route Building', 'Race', 'Simultaneous Action Selection', 'Tile Placement']"

Chronicles of Crime,239188,2018,1,4,60,90,14,7.95387,7151,"['Adventure', 'Deduction', 'Murder\\/Mystery']","['Cooperative Game', 'Storytelling', 'Time Track', 'Variable Player Powers']"

Hanamikoji,158600,2013,2,2,15,15,10,7.55448,7142,"['Card Game', 'Medieval', 'Video Game Theme']","['Area Majority \\/ Influence', 'Card Drafting', 'Hand Management', 'I Cut, You Choose']"

Mystic Vale,194607,2016,2,4,45,45,14,7.29784,7132,"['Card Game', 'Fantasy']","['Deck, Bag, and Pool Building', 'Push Your Luck']"

XCOM: The Board Game,163602,2015,1,4,60,120,14,7.08122,7109,"['Real-time', 'Science Fiction', 'Video Game Theme']","['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Push Your Luck', 'Variable Player Powers']"

Carcassonne: The Castle,7717,2003,2,2,30,30,8,7.09124,7100,"['City Building', 'Medieval']","['Area Majority \\/ Influence', 'Enclosure', 'Tile Placement']"

High Society,220,1995,3,5,15,30,10,6.97723,7082,['Card Game'],"['Auction\\/Bidding', 'Auction: Turn Order Until Pass', 'Constrained Bidding']"

La Granja,146886,2014,1,4,90,120,12,7.70108,7079,"['Economic', 'Farming']","['Area Majority \\/ Influence', 'Automatic Resource Growth', 'Dice Rolling', 'Hand Management', 'Income', 'Simultaneous Action Selection']"

Fearsome Floors,7805,2003,2,7,60,60,10,6.66031,7060,"['Horror', 'Racing']","['Grid Movement', 'Modular Board']"

Rise of Augustus,137297,2013,2,6,30,30,8,6.75129,7051,"['Ancient', 'Card Game']","['Card Drafting', 'Push Your Luck', 'Set Collection']"

Trivial Pursuit: Genus Edition,2952,1981,2,24,90,90,12,5.20923,7023,"['Party Game', 'Trivia']","['Roll \\/ Spin and Move', 'Set Collection']"

Dungeon Roll,138788,2013,1,4,15,15,8,6.1396,7022,"['Dice', 'Fantasy', 'Fighting']","['Dice Rolling', 'Hand Management', 'Push Your Luck', 'Variable Player Powers']"

A Few Acres of Snow,79828,2011,2,2,60,120,14,7.41037,7011,"['Age of Reason', 'American Indian Wars', 'Card Game', 'Territory Building', 'Wargame']","['Area Majority \\/ Influence', 'Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management', 'Point to Point Movement']"

Chicago Express,31730,2007,2,6,60,60,12,7.23368,6984,"['Economic', 'Post-Napoleonic', 'Trains', 'Transportation']","['Auction\\/Bidding', 'Auction: Turn Order Until Pass', 'Network and Route Building', 'Ownership', 'Stock Holding']"

Mage Wars Arena,101721,2012,2,2,90,90,13,7.68023,6961,"['Card Game', 'Fantasy', 'Fighting']","['Dice Rolling', 'Grid Movement', 'Simultaneous Action Selection', 'Variable Player Powers']"

KeyForge: Call of the Archons,257501,2018,2,2,15,45,14,7.5266,6960,"['Card Game', 'Fantasy', 'Fighting']","['Hand Management', 'Take That']"

Ubongo,16986,2003,1,4,25,25,8,6.71841,6956,"['Puzzle', 'Real-time']","['Grid Coverage', 'Pattern Building', 'Set Collection']"

Risk Legacy,105134,2011,3,5,60,60,13,7.46272,6939,"['Science Fiction', 'Wargame']","['Area Movement', 'Card Drafting', 'Dice Rolling', 'Legacy Game', 'Player Elimination', 'Variable Player Powers']"

The Downfall of Pompeii,13004,2004,2,4,45,45,10,7.13113,6918,['Ancient'],"['Grid Movement', 'Hand Management', 'Tile Placement']"

The Game,173090,2015,1,5,20,20,8,6.70531,6882,"['Card Game', 'Number']","['Cooperative Game', 'Hand Management', 'Solo \\/ Solitaire Game']"

Eight-Minute Empire,131366,2012,2,5,8,20,13,6.60094,6873,['Territory Building'],"['Area Majority \\/ Influence', 'Area Movement', 'Card Drafting', 'Set Collection']"

Cacao,171499,2015,2,4,45,45,8,7.11881,6853,"['Economic', 'Farming', 'Territory Building']","['Area Majority \\/ Influence', 'Hand Management', 'Tile Placement']"

Rhino Hero,91514,2011,2,5,5,15,5,6.95889,6832,"['Action \\/ Dexterity', 'Animals', ""Children's Game"", 'Party Game']","['Hand Management', 'Stacking and Balancing']"

Civilization,71,1980,2,7,360,360,12,7.50843,6817,"['Ancient', 'Civilization', 'Economic', 'Negotiation']","['Area Majority \\/ Influence', 'Area Movement', 'Hand Management', 'Set Collection', 'Tech Trees \\/ Tech Tracks', 'Trading']"

Mr. Jack Pocket,72287,2010,2,2,15,15,14,6.9378,6805,"['Bluffing', 'Deduction', 'Murder\\/Mystery', 'Post-Napoleonic']",['Modular Board']

The Quest for El Dorado,217372,2017,2,4,30,60,10,7.55782,6799,"['Adventure', 'Racing']","['Card Drafting', 'Deck, Bag, and Pool Building', 'Grid Movement', 'Hand Management', 'Modular Board', 'Race']"

Terror in Meeple City,97903,2013,2,4,45,45,8,6.88181,6794,"['Action \\/ Dexterity', 'Horror']","['Area Movement', 'Flicking', 'Set Collection', 'Variable Player Powers']"

Burgle Bros.,172081,2015,1,4,45,90,12,7.59857,6788,"['Exploration', 'Maze', 'Spies\\/Secret Agents']","['Action Points', 'Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Solo \\/ Solitaire Game']"

StarCraft: The Board Game,22827,2007,2,6,180,240,12,7.33737,6775,"['Civilization', 'Fighting', 'Miniatures', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Area Majority \\/ Influence', 'Area Movement', 'Deck, Bag, and Pool Building', 'Modular Board', 'Order Counters', 'Variable Player Powers']"

Taj Mahal,475,2000,3,5,75,100,12,7.30162,6773,"['Bluffing', 'Political']","['Auction\\/Bidding', 'Card Drafting', 'Hand Management', 'Network and Route Building', 'Set Collection']"

Colossal Arena,105,1997,2,5,60,60,8,6.77841,6767,"['Card Game', 'Fantasy', 'Mythology']","['Betting and Bluffing', 'Hand Management']"

Mille Bornes,590,1954,2,6,45,45,8,5.68939,6747,"['Card Game', 'Racing']","['Hand Management', 'Take That', 'Team-Based Game']"

Medici,46,1995,2,6,60,60,10,7.14081,6736,['Renaissance'],"['Auction\\/Bidding', 'Push Your Luck', 'Set Collection']"

Yokohama,196340,2016,2,4,90,90,14,7.90096,6730,['Economic'],"['Grid Movement', 'Modular Board', 'Network and Route Building', 'Set Collection', 'Worker Placement']"

Cockroach Poker,11971,2004,2,6,20,20,8,6.65599,6716,"['Bluffing', 'Card Game', 'Party Game']","['Hand Management', 'Set Collection', 'Single Loser Game']"

Broom Service,172308,2015,2,5,30,75,10,7.2092,6703,['Fantasy'],"['Area Movement', 'Hand Management', 'Pick-up and Deliver', 'Set Collection', 'Simultaneous Action Selection', 'Variable Phase Order']"

Archipelago,105551,2012,2,5,30,240,14,7.37518,6698,"['Civilization', 'Economic', 'Exploration', 'Nautical', 'Negotiation', 'Renaissance']","['Area Majority \\/ Influence', 'Auction\\/Bidding', 'Commodity Speculation', 'Hexagon Grid', 'Modular Board', 'Semi-Cooperative Game']"

Pandemic: Iberia,198928,2016,2,5,45,45,8,7.95566,6690,['Medical'],"['Action Points', 'Cooperative Game', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Solo \\/ Solitaire Game']"

Timeline: Inventions,85256,2010,2,8,15,15,8,6.71249,6683,"['Card Game', 'Educational', 'Trivia']",[]

Decrypto,225694,2018,3,8,15,45,12,7.8159,6648,"['Deduction', 'Party Game', 'Word Game']","['Communication Limits', 'Team-Based Game']"

Rococo,144344,2013,2,5,60,120,12,7.58479,6627,"['Age of Reason', 'Economic']","['Area Majority \\/ Influence', 'Card Drafting', 'Deck, Bag, and Pool Building', 'Hand Management', 'Set Collection']"

Celestia,175117,2015,2,6,30,30,8,7.03005,6606,"['Adventure', 'Aviation \\/ Flight', 'Card Game', 'Fantasy']","['Betting and Bluffing', 'Dice Rolling', 'Hidden Victory Points', 'Push Your Luck']"

Exit: The Game – The Abandoned Cabin,203420,2016,1,6,60,120,12,7.63566,6602,"['Deduction', 'Puzzle', 'Real-time']",['Cooperative Game']

YINSH,7854,2003,2,2,30,60,9,7.68206,6600,['Abstract Strategy'],"['Grid Movement', 'Pattern Building']"

Flick &#039;em Up!,169124,2015,2,10,30,45,7,7.01121,6600,"['Action \\/ Dexterity', 'American West', 'Fighting']","['Flicking', 'Pick-up and Deliver', 'Team-Based Game']"

Macao,55670,2009,2,4,50,100,12,7.4286,6570,"['Dice', 'Nautical']","['Action Points', 'Card Drafting', 'Dice Rolling', 'Hand Management', 'Network and Route Building', 'Pick-up and Deliver']"

Hive Pocket,154597,2010,2,2,20,20,9,7.68785,6558,"['Abstract Strategy', 'Animals']","['Grid Movement', 'Hexagon Grid', 'Tile Placement']"

Phase 10,1258,1982,2,6,45,45,8,5.09799,6546,['Card Game'],['Set Collection']

Lorenzo il Magnifico,203993,2016,2,4,60,120,12,7.88004,6468,['Renaissance'],"['Card Drafting', 'Dice Rolling', 'Variable Player Powers', 'Worker Placement']"

Carson City,39938,2009,2,5,90,90,12,7.26632,6463,"['American West', 'City Building', 'Economic']","['Area Majority \\/ Influence', 'Dice Rolling', 'Tile Placement', 'Variable Player Powers', 'Worker Placement']"

Airlines Europe,90419,2011,2,5,75,75,10,7.32177,6455,"['Aviation \\/ Flight', 'Economic']","['Card Drafting', 'Network and Route Building', 'Set Collection', 'Stock Holding']"

Space Hulk (third edition),54625,2009,2,2,60,60,12,7.54092,6451,"['Fighting', 'Miniatures', 'Science Fiction', 'Wargame']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Modular Board']"

Deus,162082,2014,2,4,60,90,14,7.3487,6449,"['Civilization', 'Mythology']","['Area Majority \\/ Influence', 'Grid Movement', 'Hand Management', 'Modular Board', 'Network and Route Building']"

Spartacus: A Game of Blood &amp; Treachery,128671,2012,3,4,120,180,17,7.46172,6431,"['Ancient', 'Fighting', 'Miniatures', 'Movies \\/ TV \\/ Radio theme', 'Negotiation']","['Auction\\/Bidding', 'Betting and Bluffing', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Trading']"

7 Wonders Duel: Pantheon,202976,2016,2,2,30,45,10,8.06161,6425,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Expansion for Base-game']","['Card Drafting', 'Set Collection']"

Forbidden Stars,175155,2015,2,4,120,180,14,7.97163,6422,"['Bluffing', 'Fighting', 'Miniatures', 'Science Fiction', 'Wargame']","['Area Majority \\/ Influence', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Order Counters', 'Variable Player Powers']"

Aeon&#039;s End,191189,2016,1,4,60,60,14,8.05946,6420,"['Card Game', 'Fantasy', 'Fighting', 'Science Fiction']","['Card Drafting', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Hand Management', 'Solo \\/ Solitaire Game', 'Variable Phase Order']"

Finca,40628,2009,2,4,45,45,10,7.07123,6415,"['Economic', 'Farming']","['Commodity Speculation', 'Mancala', 'Pick-up and Deliver', 'Rondel', 'Set Collection']"

The Red Dragon Inn,24310,2007,2,4,45,45,13,6.57248,6408,"['Card Game', 'Fantasy', 'Humor', 'Medieval', 'Party Game']","['Betting and Bluffing', 'Hand Management', 'Player Elimination', 'Take That', 'Variable Player Powers']"

Risk 2210 A.D.,1829,2001,2,5,240,240,10,6.69299,6403,"['Science Fiction', 'Territory Building', 'Wargame']","['Area Majority \\/ Influence', 'Area Movement', 'Auction\\/Bidding', 'Dice Rolling', 'Variable Player Powers']"

Claustrophobia,36932,2009,2,2,45,45,14,7.54093,6378,"['Horror', 'Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Dice Rolling', 'Grid Movement', 'Modular Board', 'Variable Player Powers']"

Tiny Epic Kingdoms,148951,2014,2,5,30,45,13,6.62365,6373,"['Bluffing', 'Civilization', 'Fantasy', 'Fighting', 'Medieval', 'Print & Play']","['Action Points', 'Area Majority \\/ Influence', 'Area Movement', 'Auction\\/Bidding', 'Take That', 'Variable Phase Order']"

Onirim (second edition),156336,2014,1,2,15,15,10,7.13955,6369,"['Card Game', 'Exploration', 'Fantasy']","['Card Drafting', 'Cooperative Game', 'Hand Management', 'Set Collection', 'Solo \\/ Solitaire Game']"

Kingdom Death: Monster,55690,2015,1,4,60,180,17,8.74872,6352,"['Adventure', 'Fantasy', 'Horror', 'Mature \\/ Adult', 'Miniatures', 'Mythology']","['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Role Playing', 'Solo \\/ Solitaire Game', 'Storytelling']"

The Great Dalmuti,929,1995,4,8,60,60,8,6.5524,6351,"['Card Game', 'Medieval']","['Hand Management', 'Ladder Climbing', 'Trick-taking']"

Pandemic: Reign of Cthulhu,192153,2016,2,4,40,40,14,7.43543,6349,"['Horror', 'Mythology', 'Novel-based']","['Action Points', 'Cooperative Game', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Trading']"

Fields of Arle,159675,2014,1,2,60,120,13,8.11742,6341,"['Economic', 'Farming', 'Industry \\/ Manufacturing']","['Automatic Resource Growth', 'Worker Placement']"

Morels,122298,2012,2,2,30,30,10,7.02369,6323,"['Card Game', 'Educational']","['Card Drafting', 'Hand Management', 'Set Collection']"

Boggle,1293,1972,1,8,10,10,8,6.19347,6319,"['Dice', 'Real-time', 'Word Game']","['Dice Rolling', 'Paper-and-Pencil', 'Pattern Recognition']"

Munchkin 2: Unnatural Axe,3943,2002,3,6,90,90,10,6.44671,6316,"['Card Game', 'Expansion for Base-game', 'Fantasy', 'Fighting', 'Humor']","['Card Drafting', 'Dice Rolling', 'Hand Management', 'Take That', 'Variable Player Powers']"

Checkers,2083,1150,2,2,30,30,6,4.86984,6313,"['Abstract Strategy', 'Comic Book \\/ Strip']","['Grid Movement', 'Pattern Movement', 'Square Grid', 'Static Capture']"

Dead of Winter: The Long Night,193037,2016,2,5,60,120,14,7.7339,6313,"['Bluffing', 'Deduction', 'Horror', 'Mature \\/ Adult', 'Science Fiction', 'Zombies']","['Action Points', 'Area Movement', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Push Your Luck']"

Lord of the Rings: The Confrontation,3201,2002,2,2,30,30,12,7.20351,6291,"['Adventure', 'Bluffing', 'Deduction', 'Fantasy', 'Movies \\/ TV \\/ Radio theme', 'Novel-based']","['Area Movement', 'Hand Management', 'Memory', 'Secret Unit Deployment', 'Simultaneous Action Selection', 'Variable Player Powers']"

Othello,2389,1883,2,2,30,30,8,6.08185,6287,['Abstract Strategy'],"['Enclosure', 'Tile Placement']"

Dice Town,40793,2009,2,5,45,45,10,6.85773,6285,"['American West', 'Dice']","['Dice Rolling', 'Set Collection', 'Simultaneous Action Selection']"

Among the Stars,110277,2012,2,4,30,30,12,7.12528,6281,"['Card Game', 'City Building', 'Science Fiction']","['Card Drafting', 'Drafting', 'Simultaneous Action Selection', 'Tile Placement', 'Variable Player Powers']"

Exploding Kittens: NSFW Deck,172242,2015,2,5,10,20,18,6.19425,6280,"['Animals', 'Card Game', 'Comic Book \\/ Strip', 'Humor', 'Mature \\/ Adult']","['Hand Management', 'Player Elimination', 'Push Your Luck', 'Set Collection', 'Take That']"

Pictionary,2281,1985,3,16,90,90,12,5.81403,6260,['Party Game'],"['Line Drawing', 'Roll \\/ Spin and Move', 'Team-Based Game']"

Raptor,177639,2015,2,2,25,25,9,7.38309,6250,"['Animals', 'Fighting', 'Science Fiction']","['Action Points', 'Grid Movement', 'Hand Management', 'Modular Board', 'Simultaneous Action Selection', 'Take That']"

Animal Upon Animal,17329,2005,2,4,15,15,4,6.8375,6217,"['Action \\/ Dexterity', 'Animals', ""Children's Game""]","['Dice Rolling', 'Stacking and Balancing']"

Sequence,2375,1982,2,12,10,30,7,5.97388,6215,"['Abstract Strategy', 'Card Game']","['Hand Management', 'Pattern Building', 'Team-Based Game']"

Lancaster,96913,2011,2,5,60,60,10,7.44105,6211,['Medieval'],"['Area Majority \\/ Influence', 'Auction\\/Bidding', 'Voting', 'Worker Placement', 'Worker Placement, Different Worker Types']"

Not Alone,194879,2016,2,7,30,45,10,7.06606,6201,"['Bluffing', 'Card Game', 'Deduction', 'Science Fiction']","['Action Queue', 'Deck, Bag, and Pool Building', 'Hand Management', 'Simultaneous Action Selection', 'Team-Based Game']"

Attika,8051,2003,2,4,45,60,10,7.00709,6197,"['Ancient', 'City Building', 'Territory Building']","['Modular Board', 'Network and Route Building', 'Tile Placement']"

Dixit: Quest,55660,2010,3,6,30,30,8,7.71663,6185,"['Bluffing', 'Card Game', 'Deduction', 'Expansion for Base-game', 'Humor', 'Party Game']","['Simultaneous Action Selection', 'Storytelling', 'Voting']"

ICECOOL,177524,2016,2,4,30,30,6,6.86039,6180,"['Action \\/ Dexterity', 'Animals', ""Children's Game""]","['Area Movement', 'Flicking', 'Take That']"

Schotten Totten,372,1999,2,2,20,20,8,7.31028,6157,"['Card Game', 'Deduction']","['Hand Management', 'Set Collection']"

Rajas of the Ganges,220877,2017,2,4,45,75,12,7.6923,6150,"['Dice', 'Economic', 'Territory Building']","['Dice Rolling', 'Tile Placement', 'Worker Placement', 'Worker Placement with Dice Workers']"

Kill Doctor Lucky,257,1996,3,8,45,45,12,6.1562,6146,"['Humor', 'Murder\\/Mystery']","['Card Drafting', 'Hand Management', 'Point to Point Movement']"

Citadels:  The Dark City,13291,2004,2,8,60,60,10,7.02785,6145,"['Bluffing', 'Card Game', 'City Building', 'Expansion for Base-game', 'Fantasy', 'Medieval']","['Card Drafting', 'Set Collection', 'Variable Player Powers']"

Smash Up: Awesome Level 9000,134726,2013,2,2,45,45,12,7.28868,6099,"['Card Game', 'Fantasy', 'Horror', 'Humor', 'Spies\\/Secret Agents']","['Area Majority \\/ Influence', 'Hand Management', 'Take That', 'Variable Player Powers']"

Cleopatra and the Society of Architects,22141,2006,3,5,60,60,10,6.8067,6069,['Ancient'],"['Auction\\/Bidding', 'Card Drafting', 'Dice Rolling', 'Enclosure', 'Hand Management', 'Set Collection']"

